,title,pays,deadline,lien,remaining_times
17,Data Steward For R&D Projects,Austria,2023-11-08,https://www.globaltenders.com/tender-detail/data-steward-for-rd-projects-72526869,30.0 days
18,Ögk - Recruitingsoftware,Austria,2023-10-30,https://www.globaltenders.com/tender-detail/Ögk-recruitingsoftware-72525874,21.0 days
19,Software Solutions Serviceware Management Software,Austria,2023-10-30,https://www.globaltenders.com/tender-detail/software-solutions-serviceware-management-so-72523623,21.0 days
20,Cyberark Licenses,Azerbaijan,2023-11-02,https://www.globaltenders.com/tender-detail/cyberark-licenses-72785812,24.0 days
21,Purchase of software licenses,Azerbaijan,2023-10-06,https://www.globaltenders.com/tender-detail/purchase-of-software-licenses-72591336,-3.0 days
22,Purchase of Office 365 Business Standard licenses,Azerbaijan,2023-10-24,https://www.globaltenders.com/tender-detail/purchase-of-office-365-business-standard-lic-72591322,15.0 days
23,"Purchase of ""Software quality measurement"" tool by the bank",Azerbaijan,2023-10-11,https://www.globaltenders.com/tender-detail/purchase-of-software-quality-measurement-t-72587461,2.0 days
24,Community Corrections Case Management System,Azerbaijan,2023-10-13,https://www.globaltenders.com/tender-detail/community-corrections-case-management-system-72429888,4.0 days
25,purchase of soft inventories required for ASCO's structural departments:,Azerbaijan,2023-10-06,https://www.globaltenders.com/tender-detail/purchase-of-soft-inventories-required-for-as-72053223,-3.0 days
26,Purchase of consulting service on the study of potential fields located in the territory of the Republic of Kazakhstan,Azerbaijan,2023-10-09,https://www.globaltenders.com/tender-detail/purchase-of-consulting-service-on-the-study-72006684,0.0 days
27,Acquisition Of A School Collaborative Work Platform For Establishments In The City Of Brussels.,Belgium,2023-10-19,https://www.globaltenders.com/tender-detail/acquisition-of-a-school-collaborative-work-p-72770479,10.0 days
28,Expanding The Metis Energy Model And Conducting Studies Demonstrating The Upgrades,Belgium,2023-10-13,https://www.globaltenders.com/tender-detail/expanding-the-metis-energy-model-and-conduct-72586907,4.0 days
29,"Supply, Installation, Commissioning And Maintenance Of A Pacs Vna Within The Chc Health Group",Belgium,2023-10-20,https://www.globaltenders.com/tender-detail/supply-installation-commissioning-and-main-72584528,11.0 days
30,Airdrop Management Systems,Belgium,2023-10-23,https://www.globaltenders.com/tender-detail/airdrop-management-systems-72531191,14.0 days
31,Contract Relating To The Supply Of Sap Software Licenses For The Needs Of The Informatics Center For The Brussels Region And Its Purchasing Center,Belgium,2023-10-16,https://www.globaltenders.com/tender-detail/contract-relating-to-the-supply-of-sap-softw-72472701,7.0 days
32,Hpe Switches & Support Logiciel,Belgium,2023-10-14,https://www.globaltenders.com/tender-detail/hpe-switches-support-logiciel-72468784,5.0 days
33,Ao 23-066-Service Provision Framework Agreement Regarding Building Helpdesk Services In Buildings (2 Lots),Belgium,2023-11-06,https://www.globaltenders.com/tender-detail/ao-23-066-service-provision-framework-agreem-72455277,28.0 days
34,Cybersecurity Framework Agreement,Belgium,2023-10-26,https://www.globaltenders.com/tender-detail/cybersecurity-framework-agreement-72441250,17.0 days
35,Special Specifications Procurement N° 2024 R3 005 Relating To The Maintenance Of The “Briefcam” Video Surveillance Image Analysis Solution For The Benefit Of The Federal Judicial Police,Belgium,2023-10-11,https://www.globaltenders.com/tender-detail/special-specifications-procurement-n-2024-72435936,2.0 days
36,"Rental And Installation Of Geolocation Devices For Vehicles In The Brussels-West Police Zone, Including Maintenance And Software Solution For A Period Of 4 Years",Belgium,2023-11-07,https://www.globaltenders.com/tender-detail/rental-and-installation-of-geolocation-devic-72414090,29.0 days
37,Turnkey Migration Service To A Jira Atlassian Cloud License,Canada,2023-11-02,https://www.globaltenders.com/tender-detail/turnkey-migration-service-to-a-jira-atlassia-72823539,24.0 days
38,"Maintenance And Support Service For The Government Platform Québec.Ca, Official Website Of The Government Of Quebec",Canada,2023-11-06,https://www.globaltenders.com/tender-detail/maintenance-and-support-service-for-the-gove-72823525,28.0 days
39,Accessibility Management Software,Canada,2023-11-10,https://www.globaltenders.com/tender-detail/accessibility-management-software-72814771,32.0 days
40,Standing Offer For Professional Services To Complete Road Safety Video Analytics,Canada,2023-10-24,https://www.globaltenders.com/tender-detail/standing-offer-for-professional-services-to-72814766,15.0 days
41,Remsoft Software Maintenance Renewal,Canada,2023-10-16,https://www.globaltenders.com/tender-detail/remsoft-software-maintenance-renewal-72814721,7.0 days
42,Learning Management System Software Solution,Canada,2023-11-03,https://www.globaltenders.com/tender-detail/learning-management-system-software-solution-72814706,25.0 days
43,2301 - Water Infrastructure Scada Communications,Canada,2023-11-17,https://www.globaltenders.com/tender-detail/2301-water-infrastructure-scada-communicat-72814699,39.0 days
44,"268-R-23 - Short Term Flow Monitoring, Data Collection And Delivery",Canada,2023-10-27,https://www.globaltenders.com/tender-detail/268-r-23-short-term-flow-monitoring-data-72781915,18.0 days
45,Accessibility Management Software,Canada,2023-11-10,https://www.globaltenders.com/tender-detail/accessibility-management-software-72781901,32.0 days
46,"Cisco Routers, Terminal Servers And Firewall Ports",Canada,2023-10-18,https://www.globaltenders.com/tender-detail/cisco-routers-terminal-servers-and-firewall-72754916,9.0 days
47,Hebei Labor Relations Vocational College Smart Fire Iot Monitoring System Integration Project Public Bidding Announcement,China,2023-10-22,https://www.globaltenders.com/tender-detail/hebei-labor-relations-vocational-college-sma-72822601,13.0 days
48,"Zhongrong Life Insurance Co., Ltd. Software And Hardware Procurement Project-Public.",China,2023-10-22,https://www.globaltenders.com/tender-detail/zhongrong-life-insurance-co-ltd-software-72820329,13.0 days
49,"High-Definition Billion-Level Pixel Cloud Camera From The Institute Of Optoelectronics Technology, Chinese Academy Of Sciences.",China,2023-10-22,https://www.globaltenders.com/tender-detail/high-definition-billion-level-pixel-cloud-ca-72820242,13.0 days
50,Data Collection And Prediction Of Basic Marine Geographical Information In The Navigable Waters Of The Western Bohai Sea.,China,2023-10-22,https://www.globaltenders.com/tender-detail/data-collection-and-prediction-of-basic-mari-72820239,13.0 days
51,Industrial Control Iot Hmi Tender Notice,China,2023-10-22,https://www.globaltenders.com/tender-detail/industrial-control-iot-hmi-tender-notice-72820223,13.0 days
52,Preliminary Bidding For Industrial Control And Internet Of Things Industrial Control All-In-One Machine (Esop) Oem Products.,China,2023-10-22,https://www.globaltenders.com/tender-detail/preliminary-bidding-for-industrial-control-a-72820222,13.0 days
53,The China Academy Of Civil Aviation Science And Technology Rebuilt The Software And Hardware Of The Collaborative Office Platform.,China,2023-10-22,https://www.globaltenders.com/tender-detail/the-china-academy-of-civil-aviation-science-72820189,13.0 days
54,Emergency Management Big Data Engineering And Natural Disaster Monitoring And Early Warning Information Technology.,China,2023-10-22,https://www.globaltenders.com/tender-detail/emergency-management-big-data-engineering-an-72820186,13.0 days
55,Meteorological Information System Engineering-Guangdong Province Integrated Data Service System.,China,2023-10-22,https://www.globaltenders.com/tender-detail/meteorological-information-system-engineerin-72820183,13.0 days
56,Beibu Gulf University Enterprise Information Industry-Education Integration Innovation Center Project Text Content,China,2023-10-22,https://www.globaltenders.com/tender-detail/beibu-gulf-university-enterprise-information-72819325,13.0 days
57,Renewal Of Manufacturer Support And Delivery Of Cisco Hw Technology,Czech Republic,2024-10-05,https://www.globaltenders.com/tender-detail/renewal-of-manufacturer-support-and-delivery-72773445,362.0 days
58,Delivery Of Sw Licenses And Services For Microsoft Products,Czech Republic,2023-11-07,https://www.globaltenders.com/tender-detail/delivery-of-sw-licenses-and-services-for-mic-72772691,29.0 days
59,Building A System Of Shared Electronic Board Hl. City ​​Of Prague,Czech Republic,2023-10-21,https://www.globaltenders.com/tender-detail/building-a-system-of-shared-electronic-board-72768330,12.0 days
60,"Delivery Of Software For Automated Document Processing Services, Their Management And Circulation Control, And Provision Of Support, Maintenance And Development Services",Czech Republic,2023-11-13,https://www.globaltenders.com/tender-detail/delivery-of-software-for-automated-document-72766073,35.0 days
61,Backup-2023-Backup Infrastructure,Czech Republic,2023-11-13,https://www.globaltenders.com/tender-detail/backup-2023-backup-infrastructure-72758278,35.0 days
62,"""V 00696 - Týnec Nad Sázavou - Egovernment""",Czech Republic,2023-10-17,https://www.globaltenders.com/tender-detail/v-00696-týnec-nad-sázavou-egovernment-72757568,8.0 days
63,Renewal Of Manufacturer Support For Check Point Technologies,Czech Republic,2024-10-05,https://www.globaltenders.com/tender-detail/renewal-of-manufacturer-support-for-check-po-72757291,362.0 days
64,Súkl Vz25/2023 - Application Monitoring,Czech Republic,2023-11-09,https://www.globaltenders.com/tender-detail/súkl-vz252023-application-monitoring-72755261,31.0 days
65,"Development, Implementation And Support Of Agenda Modules Within The Ejustice Agenda Platform",Czech Republic,2023-10-16,https://www.globaltenders.com/tender-detail/development-implementation-and-support-of-a-72753524,7.0 days
66,Dg Oi - Epodatelna Service And Development (Vzmr),Czech Republic,2023-10-27,https://www.globaltenders.com/tender-detail/dg-oi-epodatelna-service-and-development-72752700,18.0 days
67,Procurement Of Procurement Analysis System,Denmark,2024-10-05,https://www.globaltenders.com/tender-detail/procurement-of-procurement-analysis-system-72773003,362.0 days
68,Offer Of Digital Supervision,Denmark,2023-11-07,https://www.globaltenders.com/tender-detail/offer-of-digital-supervision-72759463,29.0 days
69,Purchase And Delivery Of Wan To Tønder Municipality,Denmark,2023-11-03,https://www.globaltenders.com/tender-detail/purchase-and-delivery-of-wan-to-tønder-muni-72754675,25.0 days
70,Offer Of Digital Supervision,Denmark,2023-11-07,https://www.globaltenders.com/tender-detail/offer-of-digital-supervision-72754674,29.0 days
71,Eu Tender Regarding The Supply And Operation Of The Parking Guidance System For Ballerup Municipality,Denmark,2023-11-13,https://www.globaltenders.com/tender-detail/eu-tender-regarding-the-supply-and-operation-72753546,35.0 days
72,Finance And Accounts Receivable System,Denmark,,https://www.globaltenders.com/tender-detail/finance-and-accounts-receivable-system-72752115,nan days
73,Salary And Shift Schedule,Denmark,,https://www.globaltenders.com/tender-detail/salary-and-shift-schedule-72752114,nan days
74,Contract For Erp Solution,Denmark,,https://www.globaltenders.com/tender-detail/contract-for-erp-solution-72752112,nan days
75,Purchase And Delivery Of Wan To Tønder Municipality,Denmark,2023-11-03,https://www.globaltenders.com/tender-detail/purchase-and-delivery-of-wan-to-tønder-muni-72749794,25.0 days
76,"Tender For Concession Contract For Establishment, Installation And Operation Of Lightning Charging Station Roskildevej/Skellet",Denmark,2023-11-03,https://www.globaltenders.com/tender-detail/tender-for-concession-contract-for-establish-72641618,25.0 days
77,"Purchase of the necessary items to modernize information networks for training laboratories at the General Administration of Information Systems, Digital Transformation",Egypt,2023-10-25,https://www.globaltenders.com/tender-detail/purchase-of-the-necessary-items-to-modernize-72737972,16.0 days
78,implementation of document handling software,Egypt,2023-10-05,https://www.globaltenders.com/tender-detail/implementation-of-document-handling-software-72656447,-4.0 days
79,Usufruct license For the West Shebin El-Koum District Presidency building Located next to the health insurance building For 10 years,Egypt,2023-10-17,https://www.globaltenders.com/tender-detail/usufruct-license-for-the-west-shebin-el-koum-72436276,8.0 days
80,International Consultant - Product Management For Ehs,Egypt,2023-10-10,https://www.globaltenders.com/tender-detail/international-consultant-product-managemen-72318990,1.0 days
81,"1]Supply and installation of an electric motor for the Sandoub water lifter 2]Supply of Intravenous chlorine injection devices 3]Supplying computers, printers and scanners",Egypt,2023-10-16,https://www.globaltenders.com/tender-detail/1supply-and-installation-of-an-electric-mot-72317980,7.0 days
82,Renewal of technical support and user licenses For Forti net devices for one year from the expiration date For 3 Forti gate network security devices,Egypt,2023-10-16,https://www.globaltenders.com/tender-detail/renewal-of-technical-support-and-user-licens-72255831,7.0 days
83,"Process of the central control system (SCADA), including the central monitoring system, PLC system, communications, automated pager, traffic control, ventilation sensors, and fire detection systems inside (the stations and the two tunnels), as well as the operating room and main servers for a period of three years.",Egypt,2023-10-11,https://www.globaltenders.com/tender-detail/process-of-the-central-control-system-scada-72249349,2.0 days
84,Maintaining the servers of the General Administration of Revenues and the General Administration of Geographic Information Systems,Egypt,2023-10-10,https://www.globaltenders.com/tender-detail/maintaining-the-servers-of-the-general-admin-71946049,1.0 days
85,"Maintenance contract for all spare parts for the ERG device in the Neuroimaging Department, model RETIPORT SCAN21 brand Roland Consult",Egypt,2023-10-11,https://www.globaltenders.com/tender-detail/maintenance-contract-for-all-spare-parts-for-71839257,2.0 days
86,"Maintenance contract for (7) brand ultrasound devices 310)10-(71711) Includes spare parts, continuous software update, and sensors.",Egypt,2023-10-10,https://www.globaltenders.com/tender-detail/maintenance-contract-for-7-brand-ultrasoun-71839255,1.0 days
87,Buying An Autonomous Robot Assistant With Artificial Intelligence,Estonia,2023-10-25,https://www.globaltenders.com/tender-detail/buying-an-autonomous-robot-assistant-with-ar-72806625,16.0 days
88,"Services For The Developing Of Web Service And Web Clients Of The Information And Telecommunication System ""State Registry Of Individuals - Taxpayers""(Ukraine)",Estonia,2023-10-24,https://www.globaltenders.com/tender-detail/services-for-the-developing-of-web-service-a-72806617,15.0 days
89,Sharepoint Systems Support And Development Service,Estonia,2023-10-23,https://www.globaltenders.com/tender-detail/sharepoint-systems-support-and-development-s-72741546,14.0 days
90,Progress Licenses And Product Support 2024,Estonia,2023-11-09,https://www.globaltenders.com/tender-detail/progress-licenses-and-product-support-2024-72741530,31.0 days
91,Ordering The Software Development Service For The New Technical Platform (Ehis2) Of The Estonian Education Information System,Estonia,2023-11-09,https://www.globaltenders.com/tender-detail/ordering-the-software-development-service-fo-72691049,31.0 days
92,Obtaining The Development And Maintenance Service Of My Library (Mirko).,Estonia,2023-11-03,https://www.globaltenders.com/tender-detail/obtaining-the-development-and-maintenance-se-72691046,25.0 days
93,"Tartu City Government Customer Communication And Information Exchange System Architecture, Road Map And Website Prototype",Estonia,2023-10-25,https://www.globaltenders.com/tender-detail/tartu-city-government-customer-communication-72627311,16.0 days
94,Lease Of Microsoft Software Licenses Under The Eas License Program,Estonia,2023-11-06,https://www.globaltenders.com/tender-detail/lease-of-microsoft-software-licenses-under-t-72627300,28.0 days
95,"Purchase License Updates And Product Support For Software Development, Project Management And Content Management Tools (Atlassian) Software Packages",Estonia,2023-10-23,https://www.globaltenders.com/tender-detail/purchase-license-updates-and-product-support-72581902,14.0 days
96,Acquisition Of A Cluster Of Virtual Servers With A Disk Array (Haapsalu Vocational Education Center),Estonia,2023-10-19,https://www.globaltenders.com/tender-detail/acquisition-of-a-cluster-of-virtual-servers-72581890,10.0 days
97,Travel And Expense Management System,Finland,2023-10-21,https://www.globaltenders.com/tender-detail/travel-and-expense-management-system-72770174,12.0 days
98,Service For Local Use Of Domestic Digital Newspapers,Finland,2023-10-31,https://www.globaltenders.com/tender-detail/service-for-local-use-of-domestic-digital-ne-72770160,22.0 days
99,Acquisition Of A Payroll System As A Service,Finland,2023-10-18,https://www.globaltenders.com/tender-detail/acquisition-of-a-payroll-system-as-a-service-72770150,9.0 days
100,Helsinki University Animal Hospital Patient Information System,Finland,2023-11-05,https://www.globaltenders.com/tender-detail/helsinki-university-animal-hospital-patient-72714027,27.0 days
101,Shift Planning And Resource Management System For First Aid And Rescue Operations,Finland,2023-10-30,https://www.globaltenders.com/tender-detail/shift-planning-and-resource-management-syste-72655930,21.0 days
102,Disposal Of Data Protection Material Of The City Of Kajaani 2024-2025 (2),Finland,2023-10-31,https://www.globaltenders.com/tender-detail/disposal-of-data-protection-material-of-the-72603841,22.0 days
103,Acquisition Of An Online Program That Supports Student Well-Being,Finland,2023-11-01,https://www.globaltenders.com/tender-detail/acquisition-of-an-online-program-that-suppor-72603839,23.0 days
104,"Application Development, Support And Maintenance Services For The Information Technology Monitoring Of Gambling Operations",Finland,2023-11-06,https://www.globaltenders.com/tender-detail/application-development-support-and-mainten-72603809,28.0 days
105,Ms Dynamics 365 Maintenance Of The Business Oulu Business Facility,Finland,2023-10-31,https://www.globaltenders.com/tender-detail/ms-dynamics-365-maintenance-of-the-business-72603808,22.0 days
106,Document Management System,Finland,2023-11-02,https://www.globaltenders.com/tender-detail/document-management-system-72603798,24.0 days
107,"Maintenance Services For Server Platforms, Storage Devices, Backup And Associated Software",France,2023-11-23,https://www.globaltenders.com/tender-detail/maintenance-services-for-server-platforms-s-72797724,45.0 days
108,Provision Of A Catalog In Digital Format Listing All Of The World'S Navies,France,2023-10-21,https://www.globaltenders.com/tender-detail/provision-of-a-catalog-in-digital-format-lis-72785345,12.0 days
109,"Renewal Of Licenses, Hardware And Software Support For 2 Fortinet Firewalls - Fortigate 1101E",France,2023-11-06,https://www.globaltenders.com/tender-detail/renewal-of-licenses-hardware-and-software-s-72785333,28.0 days
110,Framework Agreement: Supply And Installation Of Video Protection Systems As Well As Maintenance And Associated Services For Already Existing Sites,France,2023-11-06,https://www.globaltenders.com/tender-detail/framework-agreement-supply-and-installation-72785320,28.0 days
111,Redesign And Creation Of Website For Ght 83 And Associated Services,France,2023-11-07,https://www.globaltenders.com/tender-detail/redesign-and-creation-of-website-for-ght-83-72785293,29.0 days
112,Implementation Of A Decision-Making Information System (Sid) Entitled “Purchasing Analytical Tool” (Oaa),France,2023-11-06,https://www.globaltenders.com/tender-detail/implementation-of-a-decision-making-informat-72785285,28.0 days
113,"Assistance To Project Management For Consultation And Promotion Of Projects In Public Spaces, Garden Parks And Exteriors Of Departmental School Facilities",France,2023-11-08,https://www.globaltenders.com/tender-detail/assistance-to-project-management-for-consult-72785280,30.0 days
114,Maintenance And Integration Services On The Cap Demat Evolution Platform,France,2023-11-09,https://www.globaltenders.com/tender-detail/maintenance-and-integration-services-on-the-72776248,31.0 days
115,"Maintenance Services For Server Platforms, Storage Devices, Backup And Associated Software",France,2023-10-21,https://www.globaltenders.com/tender-detail/maintenance-services-for-server-platforms-s-72776229,12.0 days
116,"Acquisition Of The Roméo Supercomputer, Regional Infrastructure For Computing And Artificial Intelligence For Geni",France,2023-11-06,https://www.globaltenders.com/tender-detail/acquisition-of-the-roméo-supercomputer-reg-72775530,28.0 days
117,Rfp 24-03 Sharepoint Data Migration Services,Georgia,2023-10-12,https://www.globaltenders.com/tender-detail/rfp-24-03-sharepoint-data-migration-services-72779657,3.0 days
118,23016 Mechanical Unit Replacement Cms,Georgia,2023-11-07,https://www.globaltenders.com/tender-detail/23016-mechanical-unit-replacement-cms-72753226,29.0 days
119,23-036 Hris/Payroll Operating System For Floyd County Human Resources,Georgia,2023-11-07,https://www.globaltenders.com/tender-detail/23-036-hrispayroll-operating-system-for-flo-72753218,29.0 days
120,Networking Services Provider,Georgia,2023-10-10,https://www.globaltenders.com/tender-detail/networking-services-provider-72718654,1.0 days
121,Learning Management System,Georgia,2023-10-10,https://www.globaltenders.com/tender-detail/learning-management-system-72718645,1.0 days
122,Public Housing Management & Financial Saas,Georgia,2023-10-06,https://www.globaltenders.com/tender-detail/public-housing-management-financial-saas-72718612,-3.0 days
123,Telephony Solution Provider,Georgia,2023-10-06,https://www.globaltenders.com/tender-detail/telephony-solution-provider-72718611,-3.0 days
124,Municipal Fund Accounting Software System,Georgia,2023-10-05,https://www.globaltenders.com/tender-detail/municipal-fund-accounting-software-system-72534388,-4.0 days
125,Rfp-2023Cpd1 Chamblee Police Dept. Real Time Crime Center Operating System & Network Infrastructure,Georgia,2023-10-05,https://www.globaltenders.com/tender-detail/rfp-2023cpd1-chamblee-police-dept-real-time-72476432,-4.0 days
126,School Digitization: Rbb Hst Hhr 125 Lot 3: 13 Digital Boards,Germany,2023-11-06,https://www.globaltenders.com/tender-detail/school-digitization-rbb-hst-hhr-125-lot-3-72820150,28.0 days
127,"Delivery Of Licenses From Microfocus And Suse Linux, 2 Lots",Germany,2023-10-17,https://www.globaltenders.com/tender-detail/delivery-of-licenses-from-microfocus-and-sus-72820130,8.0 days
128,Sap Hana Licensing,Germany,2023-10-21,https://www.globaltenders.com/tender-detail/sap-hana-licensing-72820120,12.0 days
129,"Aruba Access Points, Hpe-Cloud Lizenzen &Amp; Montagewinkel",Germany,2023-10-24,https://www.globaltenders.com/tender-detail/aruba-access-points-hpe-cloud-lizenzen-amp-72820110,15.0 days
130,Mhh - Project Management Software,Germany,2023-10-21,https://www.globaltenders.com/tender-detail/mhh-project-management-software-72820093,12.0 days
131,Simulation Workstations/Phantom Workstations,Germany,2023-10-21,https://www.globaltenders.com/tender-detail/simulation-workstationsphantom-workstations-72820082,12.0 days
132,"Ibbw - Procurement Of It Services For The Maintenance, Care And Further Development Of The It Specialist Process Vd-Online - Ex Post",Germany,2023-10-21,https://www.globaltenders.com/tender-detail/ibbw-procurement-of-it-services-for-the-ma-72820056,12.0 days
133,Travel Expense Software,Germany,2023-10-21,https://www.globaltenders.com/tender-detail/travel-expense-software-72819978,12.0 days
134,Continuation Of A Virtualization Environment Based On Ibm Power,Germany,2023-10-19,https://www.globaltenders.com/tender-detail/continuation-of-a-virtualization-environment-72819975,10.0 days
135,Software Licenses For The Schools Of The City Of Brandenburg An Der Havel (4 Lots),Germany,2023-11-03,https://www.globaltenders.com/tender-detail/software-licenses-for-the-schools-of-the-cit-72819965,25.0 days
136,La Nucia Smartband Citizen Digital Card Service: Comprehensive Project To Digitize Facilities Of The La Nucía City Council,Spain,2023-10-16,https://www.globaltenders.com/tender-detail/la-nucia-smartband-citizen-digital-card-serv-72823773,7.0 days
137,Supply Of Outdoor Signaling And Municipal Information Totems In Torrelavega Under Co-Financing With The Feder - Pluriregional Operational Program Of Spain 2014-2020,Spain,2023-10-23,https://www.globaltenders.com/tender-detail/supply-of-outdoor-signaling-and-municipal-in-72823702,14.0 days
138,"Implementation And Start-Up Of A Platform Intended For The Management By Electronic Means Of The Activity And Administrative Procedure For Town Councils Of Less Than 20,000 Inhabitants, Associations And Smaller Local Entities In The Province Of Valladolid.",Spain,2023-11-06,https://www.globaltenders.com/tender-detail/implementation-and-start-up-of-a-platform-in-72823659,28.0 days
139,Turnkey Migration Service To A Jira Atlassian Cloud License,Canada,2023-11-02,https://www.globaltenders.com/tender-detail/turnkey-migration-service-to-a-jira-atlassia-72823539,24.0 days
140,"Maintenance And Support Service For The Government Platform Québec.Ca, Official Website Of The Government Of Quebec",Canada,2023-11-06,https://www.globaltenders.com/tender-detail/maintenance-and-support-service-for-the-gove-72823525,28.0 days
141,Supply and installation of transformation data centers system for all locations (fields & Ras Lanuf terminal),Libya,2023-10-16,https://www.globaltenders.com/tender-detail/supply-and-installation-of-transformation-da-72823453,7.0 days
142,"Sealed quotation for Storage Subsystem (Storages, SAN Switches, Backup & Recovery Solution and Cyber Resiliency Appliance) for the Bank.",Bangladesh,2023-10-19,https://www.globaltenders.com/tender-detail/sealed-quotation-for-storage-subsystem-stor-72823434,10.0 days
143,Hebei Labor Relations Vocational College Smart Fire Iot Monitoring System Integration Project Public Bidding Announcement,China,2023-10-22,https://www.globaltenders.com/tender-detail/hebei-labor-relations-vocational-college-sma-72822601,13.0 days
144,Cov - Family Hub Ai Digital Solution,United Kingdom,2023-11-06,https://www.globaltenders.com/tender-detail/cov-family-hub-ai-digital-solution-72821301,28.0 days
145,Learning Management Software System,United Kingdom,2023-11-03,https://www.globaltenders.com/tender-detail/learning-management-software-system-72821288,25.0 days
146,Open Electronic Tender For Strengthening Micromobility In The Municipality Of Karpenisi,Greece,2023-11-03,https://www.globaltenders.com/tender-detail/open-electronic-tender-for-strengthening-mic-72792830,25.0 days
147,"Open Public Electronic Competition For The Selection Of A Contractor Of ""Recording And Management Of Spatial Data Of The Services Of The Florina Regional Unit, In A Geographic Information System Environment""",Greece,2023-10-23,https://www.globaltenders.com/tender-detail/open-public-electronic-competition-for-the-s-72792812,14.0 days
148,Provision Of Management Consultant Services For The Organization Of The Implementation System Of The Fund'S Projects Recovery,Greece,2023-10-23,https://www.globaltenders.com/tender-detail/provision-of-management-consultant-services-72792807,14.0 days
149,"Conducting An Electronic Open Under The Limits Of Tender With The Criterion Of Awarding The Most Economically Advantageous Offer Based On Price For The Selection Of A Contractor For The Project: Design Implementation And Operation Of The Digital Platform Of The Program ""Supportive Measures Of Young People Aged Eighteen (18) And Nineteen (19 ) Years Old"" (Youth Pass) Financed From The Regular Budget",Greece,2023-10-23,https://www.globaltenders.com/tender-detail/conducting-an-electronic-open-under-the-limi-72792801,14.0 days
150,"Conducting An Electronic Open Under The Limits Of Tender With The Criterion Of Awarding The Most Economically Advantageous Offer Based On Price For The Selection Of A Contractor For The Project Beneficiary Support Desk Services (Help-Desk) For The Program ""Supportive Measures Of Young People Aged Eighteen (18) And Nineteen (19) Years Old' (Youth Pass), Financed From The Regular Budget",Greece,2023-10-23,https://www.globaltenders.com/tender-detail/conducting-an-electronic-open-under-the-limi-72792800,14.0 days
151,Support Services For Production Operation And Development Of Applications Of The Ys Yms,Greece,2023-11-08,https://www.globaltenders.com/tender-detail/support-services-for-production-operation-an-72768399,30.0 days
152,Production Operation Support Services And Application Development Of The Gemi Ps And The Gemi Interconnection System With The Bris Network,Greece,2023-11-08,https://www.globaltenders.com/tender-detail/production-operation-support-services-and-ap-72757633,30.0 days
